partner_id,name
512,Motel One
768,hotelgus.com
1280,Moran Hotels
1536,abindenurlaubV3
1792,cm_Omnibees
2048,Holidayextras UK
2304,cm_alpome
2560,Bentour_bewotec
1,hotel.de
257,Accor_Pullman
2,booking.com
514,BarceloViajesV2
770,Corus Hotels
1282,Bewleys Hotels
1538,Flyin
1794,cm_Beds24
2050,cm_Evols
2306,cm_wikhotel
2562,transveho
3,venere
259,Accor_Sofitel
4,hotelclub
516,EurostarsDirectConnect
772,snoozee_bi
1284,GreenTree
1540,IHG_cnt
1796,cm_Neobookings
2052,Maeva
2308,Deals.bg
2564,VRBO
5,expedia
261,Accor_SuiteNovo
6,giata
518,AirasiaGo
774,snoozee_sales
1286,Swiss Belhotel International
1542,Marriott_cnt
1798,cm_Easyconsulting
2054,Reembolsing
2310,Reembolsing_v2
2566,tatilv2
7,skoosh_old
263,Daydreams
8,ebookers
520,Tatilsepeti_Int
776,snoozee_ctt
1288,trivago custom booking engine m2
1544,Accor_cnt
1800,Stayzilla
2056,Touristica
2312,Portaventura_Idiso
2568,H_Tapestry_US
9,hotelopia
265,HotelTravel
10,gtahotels
522,Tatilsepeti_Tr
778,CN_Inventory_base
1290,JA Hotels
1546,Motel6_cnt
1802,Tui LTE
2058,neckermann_nl
2314,cm_Wubook_teb
2570,Kognitiv_teb
11,alpharooms
267,GetaRoom
12,hotelscom
524,Marriott_CNT
780,Lonely planet
1292,ehotel v2
1548,GreenTree_cnt
1804,SnowTrex
2060,cm_Booklogic
2316,Yokoso
2572,cm_kognitiv_teb
13,IHG
269,Hotelsnapper
14,Accor
526,Amadeus
782,Weekendesk
1294,mhs_lindner
1550,LaQuinta_cnt
1806,Mexico Destinos
2062,travelata
2318,Apex
2574,mhs_welcomehotels
15,HRS
271,Toprural
16,bestWestern
528,Orbitz
784,snoozee_combined
1296,green tree
1552,ScottishHotelAward_Award
1808,cm_hotusa
2064,hutchgo
2320,cm_PeninsulaGrouphotels
2576,Tvil.ru
17,goldenTulip
273,HotelConnect
18,choicehotels
530,Zuji
786,Jumeirah Hotels
1298,WWHolidays
1554,MarcoPolo_Recommendation
1810,cm_availpro
2066,Hotelleriesuisse
2322,Rakuten_Int hotels
2578,mhs_hoernerdoerfer
19,marriott
275,BarceloHoteles
20,oneTravel
532,Hotel.de V2
788,Mondial
1300,IHG_Ana
1556,RelaxGuide_Certification
1812,mhs_availpro
2068,ITravelIsrael
2324,Almundo
2580,cm_Bookonlinenow
21,edreams_deprecated
277,ThomasCook
22,asiarooms
534,edreams
790,HotelSpecials
1302,ihg_holinnresort
1558,GoodHotelGuide_Recommendation
1814,RumboV2
2070,Setur
2326,inhores.com
2582,oceanbooking
23,iff
279,Olotels
24,hotelpronto
536,Alpitour
792,HEBS
1304,IHG_Hualuxe
1560,AT_Ecolabel_Tourism_Cert
1816,roomsXXLv3
2072,Tui CH
2328,Odamax
2584,Mantra Hotels
25,ratestogo
281,moevenpick
26,hilton
538,Warwick Hotels
794,Van der Valk Exclusief
1050,25Hours
1306,Journeyful
1562,Ecolabel_Certification
1818,Wyndham_synxis
2074,pw_vrijuit
2330,mhs_salzburg
2586,Peppers Hotels
27,directlink
283,lindner
28,laterooms
540,Iberostar
796,lastminute.com.au
1052,Rakuten_JP hotels
1308,bestWestern_IT
1564,FC rhhoteles
1820,Goodroom
2076,pw_neckermann_be
2332,AniturV2
2588,Kempinski
29,affiliatefuture
285,The Finest Hotels of The World
30,Reserveahotelonline
542,Quickbeds
798,Van der Valk
1054,Leonardo
1310,trivago custom booking engine v2
1566,MontigoV2
1822,Bojorquez
2078,pw_neckermann_nl
2334,mirai_teb
2590,Huamin
31,Quickrooms
287,UnisterHotelreservierung
32,tiscover
544,VerticalBooking
800,eLong EAN
1056,mhs_Micros
1312,Premiumtravel
1568,Biosphere_Responsible_Tourism
1824,Stardekk
2080,pw_thomascook_be
2336,Aston Hotels
2592,alpharoomsV2
33,Octopustravel
289,Easytobook_low-bucket
34,hotelsChart
546,Blastness
802,eLong Domestic
1058,Pierre et Vacances
1314,Neckermann
1570,Where2Golf_Certification
1826,Hoteles City
2082,Hotelbook.ru
2338,BestWestern_UK
2594,BreakFree
35,planigo
291,1-2-Fly
36,ehotel
548,Taj
804,Citadines
1060,On the beach
1316,Wing On Travel
1572,JollyTur
1828,ViajarV2
2084,Japanican
2340,BookDubai
2596,cm_IBS
37,travelres
293,Escapio
38,aidu packages
550,Viajes el Corte Ingles
806,Langham Hotels
1062,HotelUrbano
1318,Lanyon
1574,mhs_BeBetterHotels
1830,fixed_bucket_partner_please_reuse_id
2086,cm_IAI
2342,EMPTY_TBD
2598,cm_ericsoft_teb
39,expadia packages
295,blumar
40,opodo packages
552,Booking_DE
808,Ab-in-den-Urlaub V2
1064,bestWestern_FR
1320,Wotif
1576,LastminuteAU
1832,FuerteHotels
2088,Hotelwiz
2344,cm_pxsol
2600,Onlyhotels
41,wegde packages
297,PreferredHotelsGroup
42,asiaonline
554,Amadeus_NH_Hotels
810,HotelSpecials Scandinavia
1066,Brit Hotels
1322,holidayiq
1578,BandB.it
1834,FlightNetwork
2090,Amoma_price_calc
2346,Pestana
2602,cm_Bookonlinenow_teb
43,travelscout packages
299,MaMaison
44,IHA
556,WinTradeGardapass
812,Baglioni
1068,VHG_Lexington Inns
1324,snoozee_ota
1580,orbitzusv2
1836,Holidayextras DE
2092,cm_fnsRooms
2348,Movenpick Hotels
2604,Hyatt 2
45,toBook
301,BookCyprus
46,fastbooking
558,Concorde
814,Travelocity USv2
1070,snoozee_hotelbeds
1326,ratestogo
1582,cheapticketsv2
1838,BestWestern_ROW
2094,Rehlat
2350,Two Roads_Joie de Vivre Hotels
2606,Kinki Nihon Tourist
47,tourico
303,VivaStay
48,beauty24
560,Park & Suites 
816,Derbysoft CRS
1072,VHG_Americas Best Value Inn
1328,hotel.cz
1584,Siteminder
1840,HotelgrouperV2
2096,cm_Avirato
2352,Two Roads_Thompson Hotels
2608,JollyTurV2
49,Escapio
305,OpodoEXForUK
50,atrapalo
562,Regent Hotels
818,AsiaWebDirect.com
1074,VHG_Canadas Best Value Inn
1330,VenereEWS
1586,onetwotrip
1842,cm_simplebooking
2098,cm_Hotel Manager
2354,TravelUp
2610,Yamsafer
51,lastminute.de
307,eLong.com
52,lastmholiday
564,Tingo
820,AsiaTravel
1076,Ticket.se
1332,Gardapass
1588,Palladium
1844,FastConnectTestPartner
2100,cm_Sabre
2356,Al_Mosafer
2612,RIU Hotels and Resorts
53,lastmpackage
309,tripsta.pl
54,priceline
566,confortel
822,TUI.it
1078,City Hotels
1334,OstrovokData
1590,Carlson_CNT
1846,Zenrooms
2102,Playa Senator
2358,BestWestern_US
2614,cm_Availroom
55,hotelbook
311,Qype
56,opodo
568,Cantik Bali Villas
824,MagicCosta
1080,bookIt
1336,HappyRoomsData
1592,Wyndham_CNT
1848,Bastion Hotels
2104,VallartaMX
2360,CHA_Quality_Inn
2616,cm_TravelLine
57,holidaycheck
313,venere_expedia
58,tripadvisor
570,MakeMyTrip
826,Design Hotels
1082,H_Doubletree
1338,MagicCostaBlanca
1594,cm_Verticalbooking
1850,Room Mate Hotels
2106,VallartaUS
2362,CHA_Comfort_Inn
2618,alpharooms_tFC_2618
59,agoda
315,CharmingHotels
60,easytobook
572,Dolce
828,Reservit
1084,H_Garden Inn
1340,mhs_e4j
1596,cm_vioma
1852,Despegar_BR
2108,LosCabosUS
2364,CHA_Econo_Lodge
2620,Accor_Mama_Shelter
61,hostelsclub
317,Zoover
62,epoque
574,Starhotels
830,Amoma
1086,H_Hampton Inn
